day,2018,2019,2020,2021
07월 10일,16503 ,17741 ,20603 ,
07월 11일,18001 ,17571 ,20477 ,
07월 12일,17557 ,17489 ,19697 ,
07월 13일,17350 ,16736 ,17352 ,
07월 16일,17041 ,15659 ,20377 ,
07월 17일,15791 ,17738 ,20406 ,
07월 18일,17474 ,17375 ,20439 ,
07월 19일,17128 ,17014 ,20296 ,
07월 20일,17272 ,16564 ,16377 ,
07월 23일,17044 ,15838 ,20338 ,
07월 24일,15603 ,17346 ,20441 ,
07월 25일,17488 ,17455 ,20483 ,
07월 26일,17315 ,17617 ,20334 ,
07월 27일,17542 ,17831 ,17261 ,
07월 30일,17240 ,13439 ,20905 ,
07월 31일,13895 ,17907 ,20948 ,
08월 01일,17608 ,17874 ,20886 ,
08월 02일,17908 ,17715 ,19681 ,
08월 03일,18593 ,17552 ,19304 ,
08월 06일,17544 ,15772 ,20761 ,
08월 07일,17034 ,17926 ,21185 ,
08월 08일,18388 ,17809 ,20815 ,
08월 09일,18141 ,17920 ,20195 ,
08월 10일,18113 ,17215 ,17320 ,
08월 13일,18001 ,16279 ,20358 ,
08월 14일,17309 ,18204 ,20812 ,
08월 16일,18208 ,18321 ,20600 ,
08월 17일,18419 ,18337 ,20432 ,
08월 20일,17669 ,17926 ,19016 ,
08월 21일,16581 ,17656 ,20399 ,
08월 22일,18359 ,18727 ,20261 ,
08월 23일,18230 ,18861 ,20360 ,
08월 24일,17983 ,18795 ,19453 ,
08월 27일,17510 ,18435 ,18288 ,
08월 28일,17750 ,18186 ,20125 ,
08월 29일,18054 ,18691 ,20162 ,
08월 30일,18195 ,18849 ,19973 ,
08월 31일,17891 ,18750 ,19252 ,
09월 03일,17374 ,18050 ,19216 ,
09월 04일,17476 ,17783 ,20390 ,
09월 05일,18326 ,18667 ,20502 ,
09월 06일,18428 ,14596 ,20629 ,
09월 07일,18312 ,14596 ,20186 ,
09월 10일,18089 ,19178 ,19775 ,
09월 11일,17651 ,19266 ,21033 ,
09월 12일,18825 ,19473 ,21078 ,
09월 13일,18846 ,19250 ,20678 ,
09월 14일,18782 ,14246 ,20111 ,
09월 17일,18393 ,18835 ,18970 ,
09월 18일,17990 ,18628 ,20156 ,
09월 19일,18314 ,18227 ,19963 ,
09월 20일,18116 ,17641 ,19810 ,
09월 21일,17276 ,14150 ,20272 ,
09월 27일,16567 ,18045 ,22111 ,
09월 28일,17726 ,17607 ,19667 ,
10월 01일,18146 ,20579 ,19667 ,
10월 02일,18553 ,17734 ,-,
10월 04일,18808 ,16052 ,21220 ,
10월 05일,18555 ,18065 ,21028 ,
10월 08일,17680 ,18085 ,20673 ,
10월 10일,18678 ,18602 ,17721 ,
10월 11일,18400 ,18587 ,20766 ,
10월 12일,18252 ,16675 ,21258 ,
10월 15일,16929 ,18717 ,21001 ,
10월 16일,18096 ,18974 ,20740 ,
10월 17일,18290 ,18713 ,16757 ,
10월 18일,17494 ,18438 ,20994 ,
10월 19일,17192 ,17095 ,20894 ,
10월 22일,16269 ,18525 ,20621 ,
10월 23일,17661 ,18272 ,20472 ,
10월 24일,17277 ,17995 ,18235 ,
10월 25일,17095 ,17869 ,20511 ,
10월 26일,17072 ,17431 ,20436 ,
10월 29일,16080 ,18036 ,19718 ,
10월 30일,17484 ,17725 ,19173 ,
10월 31일,17568 ,17666 ,17635 ,
11월 01일,17878 ,17609 ,20003 ,
11월 02일,17779 ,16963 ,20037 ,
11월 05일,17588 ,18001 ,19923 ,
11월 06일,18242 ,18169 ,19992 ,
11월 07일,18013 ,18206 ,16136 ,
11월 08일,17927 ,17905 ,20381 ,
11월 09일,17714 ,16834 ,20426 ,
11월 12일,16533 ,18479 ,20398 ,
11월 13일,17802 ,18287 ,19683 ,
11월 14일,17508 ,18410 ,17049 ,
